ID,Тип,Артикул,Имя,Описание,Изображение,Названия атрибутов,Значения атрибутов
30032095,Обувь,30032095,кроссовки Progrid Omni 9,пепельно-серый шнуровка спереди массивная резиновая подошва дизайн колор-блок,https://cdn-images.farfetch-contents.com/30/03/20/95/30032095_59361268_1000.jpg,Детали;Высота каблука;Aesthetics;Стиль;Материал и состав;Форма носка,На шнуровке;Плоский;streetwear;На каждый день;Синтетический материал;Круглый
31239361,Обувь,31239361,футбольные бутсы Spotlight Lux Mc Le Usa Blue/Red,"синий узор с изображением звезд красные вставки высокий крой шнуровка подошва с протектором Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/23/93/61/31239361_60545327_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28062948,Обувь,28062948,кроссовки Bondi 9,"белый трикотажный верх низкая модель шнуровка логотип сбоку Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/28/06/29/48/28062948_59703633_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
31628468,Обувь,31628468,кроссовки GEL-Quantum 360 I AMP Pale Oak/Wool,"оттенок Pale Oak ткань в рубчик замшевые вставки амортизация GEL шнуровка низкая модель Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/62/84/68/31628468_60987297_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29930294,Обувь,29930294,кроссовки Cloudtilt 2 All White из коллаборации с Loewe,"белый шнуровка спереди петля для подтягивания сзади тисненый узор Anagram нашивка с логотипом на язычке закругленный носок стелька с логотипом знаковая технология CloudTec® резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/29/93/02/94/29930294_59103052_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28018203,Обувь,28018203,кроссовки Cloudvista 2 Cream Desert,"светло-бежевый шнуровка спереди сетчатые вставки логотип сбоку язычок с логотипом закругленный носок пластина Speedboard™ знаковая технология CloudTec® резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/28/01/82/03/28018203_58893974_1000.jpg,Высота каблука;Форма носка;Материал и состав,Плоский;Миндалевидный;Синтетический материал
30970646,Обувь,30970646,кроссовки с полосками,бежевый кожа три черные полоски петля для подтягивания резиновая подошва шнуровка,https://cdn-images.farfetch-contents.com/30/97/06/46/30970646_60846574_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Aesthetics;Материал и состав,На каждый день;На шнуровке;Плоский;Миндалевидный;minimal;Кожа
31223187,Обувь,31223187,Cloudsurfer Trail 2 waterproof sneakers,black waterproof cloudtec sole lace-up fastening swiss engineering detail low-top design,https://cdn-images.farfetch-contents.com/31/22/31/87/31223187_60786365_1000.jpg,Стиль;Aesthetics,На каждый день;edgy
23785896,Обувь,23785896,кроссовки Lebron Witness 7 Bred,"черный шнуровка спереди дизайн со вставками логотип на пятке петля для подтягивания сзади логотип Nike Swoosh закругленный носок резиновая подошва Дата выхода: 26 апреля 2024 Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/23/78/58/96/23785896_59641621_1000.jpg,Conscious;Знаковые модели;Стиль;Aesthetics,Оценка Good On You: 3 из 5;lebron;На каждый день;streetwear
27653439,Обувь,27653439,кроссовки Adizero Evo SL White/Black,"белый сетчатый дизайн шнуровка спереди логотип на пятке знаковый логотип 3-Stripes закругленный носок стелька с логотипом резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/27/65/34/39/27653439_58380970_1000.jpg,Стиль,На каждый день
30679492,Обувь,30679492,кроссовки FuelCell SuperComp Elite v4,белый темно-синий логотип N подошва FuelCell верх с узором верх PhantomFit шнуровка,https://cdn-images.farfetch-contents.com/30/67/94/92/30679492_61058856_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28770704,Обувь,28770704,кроссовки Bondi 8 TS,черный шнуровка спереди петля для подтягивания сзади промежуточная амортизирующая подошва резиновая подошва,https://cdn-images.farfetch-contents.com/28/77/07/04/28770704_58253881_1000.jpg,Стиль;Детали;Высота каблука;Форма носка,На каждый день;На шнуровке;Плоский;Круглый
30047197,Обувь,30047197,кроссовки Zoom Vomero 5 Platinum Tint,"лиловый шнуровка спереди дизайн со вставками сетчатые вставки логотип на пятке логотип Nike Swoosh нашивка с логотипом на язычке закругленный носок уплотненная щиколотка технология Zoom Air резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/30/04/71/97/30047197_59109090_1000.jpg,Знаковые модели;Стиль;Aesthetics,zoom;На каждый день;streetwear
28876430,Обувь,28876430,кроссовки GT-1000 Cranberry,"красный шнуровка спереди сетчатый дизайн язычок с логотипом закругленный носок стелька с логотипом промежуточная подошва FlyteFoam резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/28/87/64/30/28876430_58348863_1000.jpg,Стиль,На каждый день
30738401,Обувь,30738401,кроссовки Harden Vol. 9 Red Metallic,"красный скульптурные крылья модель средней высоты шнуровка ребристая подошва задник из углеродного волокна Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/30/73/84/01/30738401_61269585_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28367638,Обувь,28367638,кроссовки GT-2160 Pure Silver/White,"белый шнуровка спереди сетчатый дизайн логотип-аппликация нашивка с логотипом на язычке закругленный носок знаковая технология GEL™ стелька с логотипом массивная резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/28/36/76/38/28367638_58274594_1000.jpg,Материал и состав,Синтетический материал
25566481,Обувь,25566481,кроссовки NPC UK Collegiate Navy из коллаборации с The Good Company,"темно-синий замша из телячьей кожи шнуровка спереди логотип на пятке нашивка с логотипом на язычке закругленный носок стелька с логотипом логотип на подошве резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/25/56/64/81/25566481_55666024_1000.jpg,Стиль;Aesthetics,На каждый день;minimal
28123226,Обувь,28123226,кроссовки Book 1 Sedona,"желто-оранжевый шнуровка спереди тональная строчка логотип Nike Swoosh технология Zoom Air закругленный носок стелька с логотипом резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/28/12/32/26/28123226_58447432_1000.jpg,Стиль;Знаковые модели,На каждый день;zoom
31580293,Обувь,31580293, кроссовки FuelCell Rebel v5,черный подошва FuelCell сетчатый верх светоотражающие вставки шнуровка резиновая подошва,https://cdn-images.farfetch-contents.com/31/58/02/93/31580293_61056939_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28617445,Обувь,28617445,кроссовки XT-6 Gore-Tex,серо-бежевый застежка тогл спереди уплотненная щиколотка резиновая подошва с протектором логотип сбоку,https://cdn-images.farfetch-contents.com/28/61/74/45/28617445_58348742_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Материал и состав,На каждый день;На шнуровке;Плоский;Круглый;Синтетический материал
30971214,Обувь,30971214,кроссовки с полосками,коричневый плетеный верх три коричневые полоски петля для подтягивания резиновая подошва шнуровка,https://cdn-images.farfetch-contents.com/30/97/12/14/30971214_60850450_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Aesthetics;Материал и состав,На каждый день;На шнуровке;Плоский;Миндалевидный;classic;Кожа
29616594,Обувь,29616594,кроссовки Cloudnova Form 2,сине-серый шнуровка спереди бегунок с логотипом массивная резиновая подошва уплотненная щиколотка,https://cdn-images.farfetch-contents.com/29/61/65/94/29616594_58676496_1000.jpg,,
31068443,Обувь,31068443,кроссовки MVP 92 Black/Wolf Grey,"черный замшевый верх фактурные накладки перфорация логотип Nike Air резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/06/84/43/31068443_61096056_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29696180,Обувь,29696180,кроссовки GT-2160 Papaya/Pure Silver,персиково-оранжевый сетчатый дизайн шнуровка спереди логотип на пятке закругленный носок массивная резиновая подошва,https://cdn-images.farfetch-contents.com/29/69/61/80/29696180_59265968_1000.jpg,Aesthetics,streetwear
21923459,Обувь,21923459,кроссовки Cloudrunner 2,черный сетчатые вставки водонепроницаемый материал логотип сбоку тисненый логотип на язычке шнуровка спереди закругленный носок знаковая технология CloudTec® вспененный материал Helion™ резиновая подошва,https://cdn-images.farfetch-contents.com/21/92/34/59/21923459_53974601_1000.jpg,Conscious;Стиль;Aesthetics,Оценка Good On You: 3 из 5;На каждый день;classic
29377794,Обувь,29377794,кроссовки Wave Skyrise 6,светло-серый шнуровка спереди логотип сбоку нашивка с логотипом на язычке плоская подошва,https://cdn-images.farfetch-contents.com/29/37/77/94/29377794_58457115_1000.jpg,Стиль,На каждый день
31628506,Обувь,31628506,кроссовки Astro Grabber QS Soft Yellow/Black,"светло-желтый черный логотип Swoosh резиновая подошва шнуровка дутый воротник Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/62/85/06/31628506_61001263_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
28670945,Обувь,28670945,кроссовки DMX Trail GTX,черный темно-синий завязка на шнурке массивный язычок градиентный эффект,https://cdn-images.farfetch-contents.com/28/67/09/45/28670945_58061607_1000.jpg,Стиль;Материал и состав,На каждый день;Кожа
31223118,Обувь,31223118,Cloud 6 Versa low-top sneakers,black textile upper lace-up fastening cloudtec cushioning logo detail rubber sole,https://cdn-images.farfetch-contents.com/31/22/31/18/31223118_60775086_1000.jpg,Стиль;Aesthetics,На каждый день;edgy
29073977,Обувь,29073977,кроссовки XT-6 Expanse,белый шнуровка спереди петля для подтягивания сзади уплотненная щиколотка резиновая подошва с протектором,https://cdn-images.farfetch-contents.com/29/07/39/77/29073977_58356142_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Материал и состав,На каждый день;На шнуровке;Плоский;Круглый;Синтетический материал
31568391,Обувь,31568391,кроссовки Trailgrip GTX,белый кожаный верх резиновая подошва вставки закругленный носок,https://cdn-images.farfetch-contents.com/31/56/83/91/31568391_60921538_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
23785887,Обувь,23785887,кроссовки Air Max Pulse Triple Black,"черный сетчатый дизайн шнуровка спереди окантовка из искусственной кожи кожаная отделка логотип на пятке светоотражающие детали нашивка с логотипом на язычке логотип Nike Swoosh закругленный носок стелька с логотипом резиновая подошва Max Air Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/23/78/58/87/23785887_55242511_1000.jpg,Conscious;Стиль;Aesthetics;Знаковые модели,Оценка Good On You: 3 из 5;На каждый день;streetwear;air max
29801884,Обувь,29801884,кроссовки Hopara 2,серый завязка на шнурке петля для подтягивания сзади резиновая подошва,https://cdn-images.farfetch-contents.com/29/80/18/84/29801884_58960092_1000.jpg,Стиль,На каждый день
29701993,Обувь,29701993,"Run Swift 3 ""Black"" sneakers","black  front lace-up fastening  signature Swoosh logo detail  mesh panelling   logo patch at the tongue  round toe  padded ankle  branded insole  contrasting rubber sole  Release date: September 22nd, 2023  These styles are supplied by a premium and authenticated sneaker marketplace. Stocking only the most sought-after footwear, they source and curate some of the most hard to find sneakers from around the world.  ",https://cdn-images.farfetch-contents.com/29/70/19/93/29701993_59109799_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
31580959,Обувь,31580959,кроссовки X-Alp,зеленый замша шнуровка дутый воротник резиновая подошва принт с логотипом,https://cdn-images.farfetch-contents.com/31/58/09/59/31580959_61326688_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Aesthetics,На каждый день;На шнуровке;Плоский;Круглый;edgy
22686085,Обувь,22686085,кроссовки Sabrina 1 Beyond The Game,серый сетчатые вставки логотип Nike Swoosh контрастные вставки закругленный носок шнуровка спереди тисненый логотип на язычке стелька с логотипом резиновая подошва,https://cdn-images.farfetch-contents.com/22/68/60/85/22686085_52934713_1000.jpg,Стиль;Aesthetics;Conscious,На каждый день;classic;Оценка Good On You: 3 из 5
26553979,Обувь,26553979,кроссовки Jasper Zionic,черный кожа шнуровка спереди резиновая подошва вспененная стелька знаковый дизайн Countoured Fit дизайн со вставками петля для подтягивания сзади уплотненная щиколотка сетчатая подкладка вышитый логотип сбоку язычок с вышитым логотипом знаковый бампер KEEN.PROTECT закругленный носок,https://cdn-images.farfetch-contents.com/26/55/39/79/26553979_56077000_1000.jpg,Aesthetics,edgy
30679306,Обувь,30679306,кроссовки TSC NYC Marathon,белый знаковый логотип N амортизация Fresh Foam резиновая подошва,https://cdn-images.farfetch-contents.com/30/67/93/06/30679306_59583649_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
31001042,Обувь,31001042,кроссовки Drift Trail,черный эффект красной краски шнуровка резиновая подошва фактурная подошва низкая модель,https://cdn-images.farfetch-contents.com/31/00/10/42/31001042_60163091_1000.jpg,Стиль;Aesthetics,На каждый день;edgy
23785926,Обувь,23785926,кроссовки Zoom Freak 2 Taxi,"черный шнуровка спереди дизайн со вставками петля для подтягивания сзади вышитый логотип сбоку логотип Nike Swoosh нашивка с логотипом на язычке закругленный носок стелька с логотипом резиновая подошва Дата выхода: 26 апреля 2024 Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/23/78/59/26/23785926_59642232_1000.jpg,Conscious;Знаковые модели;Стиль;Aesthetics,Оценка Good On You: 3 из 5;zoom;На каждый день;streetwear
29775786,Обувь,29775786,сумка Cons As-1 Pro из коллаборации с Alexis Sablone,белый шнуровка спереди контрастный задник с логотипом перфорированный носок нашивка в форме звезды сбоку,https://cdn-images.farfetch-contents.com/29/77/57/86/29775786_59086064_1000.jpg,Aesthetics;Стиль;Материал и состав;Детали;Высота каблука;Форма носка,streetwear;На каждый день;Кожа;На шнуровке;Плоский;Круглый
27652379,Обувь,27652379,кроссовки Cloudsurfer Next,черный шнуровка спереди логотип сбоку закругленный носок знаковая технология CloudTec® вспененный материал Helion™ резиновая подошва,https://cdn-images.farfetch-contents.com/27/65/23/79/27652379_57694352_1000.jpg,Стиль;Conscious,На каждый день;Оценка Good On You: 3 из 5
31559324,Обувь,31559324,кроссовки 12Alpha 3 PE,"темно-синий кожаный верх дутый воротник металлические люверсы Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/55/93/24/31559324_60962001_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29879737,Обувь,29879737,кроссовки Terrex Trailmaker 2 GTX из коллаборации с National Geographic,черный/зеленый/серый система быстрой шнуровки петля для подтягивания сзади резиновая подошва Continental™ водонепроницаемый материал GORE-TEX,https://cdn-images.farfetch-contents.com/29/87/97/37/29879737_59584185_1000.jpg,Стиль;Aesthetics;Знаковые модели,На каждый день;streetwear;continental
30748059,Обувь,30748059,кроссовки Ultra 100 GTX,черный оранжевая отделка шнуровка резиновая подошва низкий профиль,https://cdn-images.farfetch-contents.com/30/74/80/59/30748059_61056855_1000.jpg,Aesthetics,streetwear
31245173,Обувь,31245173,кроссовки Gel Quantum 360 l Amp,серый амортизация GEL шнуровка резиновая подошва,https://cdn-images.farfetch-contents.com/31/24/51/73/31245173_60928721_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
27599060,Обувь,27599060,кроссовки Gel-Kinetic Fluent,"белый шнуровка спереди язычок с логотипом светоотражающие детали Это унисекс-модель. Обратите внимание, что для нее используется мужская размерная сетка.",https://cdn-images.farfetch-contents.com/27/59/90/60/27599060_57571718_1000.jpg,Conscious;Aesthetics;Материал и состав,Оценка Good On You: 3 из 5;streetwear;Синтетический материал
31067458,Обувь,31067458,кроссовки Fresh Foam X Hierro V9,желтый прослойка подошвы Fresh Foam X шнуровка вышитый логотип петля для подтягивания сетчатый верх,https://cdn-images.farfetch-contents.com/31/06/74/58/31067458_60360914_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29943612,Обувь,29943612,кроссовки Cloudtilt 2 Pink/White из коллаборации с Loewe,"белый шнуровка спереди петля для подтягивания сзади петля для подтягивания с логотипом логотип сбоку вышитый узор Anagram закругленный носок уплотненная щиколотка знаковая технология CloudTec® резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/29/94/36/12/29943612_59110372_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
24072971,Обувь,24072971,кроссовки Cloud X Z5,черный сетчатый дизайн завязка на шнурке логотип на заднике петля для подтягивания сзади тисненый логотип на язычке тисненый логотип сбоку закругленный носок стелька с логотипом цельная подкладка технология CloudTec® массивная резиновая подошва,https://cdn-images.farfetch-contents.com/24/07/29/71/24072971_55976950_1000.jpg,Conscious;Aesthetics;Материал и состав;Высота каблука;Форма носка,Оценка Good On You: 3 из 5;edgy;Синтетический материал;Плоский;Круглый
30652909,Обувь,30652909,кроссовки Moab Speed 2,зеленый сетчатые вставки шнуровка резиновая подошва,https://cdn-images.farfetch-contents.com/30/65/29/09/30652909_61089788_1000.jpg,Стиль;Aesthetics,На каждый день;streetwear
29035137,Обувь,29035137,кроссовки Gel-Kayano 14 Tiffany,"светло-серый шнуровка спереди полоски Tiger нашивка с логотипом на язычке закругленный носок знаковая технология GEL™ резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/29/03/51/37/29035137_58229297_1000.jpg,Стиль;Материал и состав,На каждый день;Синтетический материал
29545735,Обувь,29545735,кроссовки Gel-NYC,голубой шнуровка спереди уплотненная щиколотка технология GEL™ резиновая подошва,https://cdn-images.farfetch-contents.com/29/54/57/35/29545735_58883008_1000.jpg,Стиль;Детали;Высота каблука;Форма носка;Материал и состав,На каждый день;На шнуровке;Плоский;Круглый;Замша
24946977,Обувь,24946977,кроссовки 9060 Black Phantom/Charcoal,"черный/угольно-серый замша сетчатые вставки логотип-аппликация закругленный носок шнуровка спереди стелька с логотипом подошва с технологией ABZORB® массивная резиновая подошва Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/24/94/69/77/24946977_55573213_1000.jpg,Форма носка;Детали;Высота каблука;Aesthetics;Conscious;Материал и состав,Круглый;На шнуровке;Плоский;streetwear;Оценка Good On You: 3 из 5;Замша
31027735,Обувь,31027735,кроссовки Phantom GT Elite Lime Glow,"светло-зеленый верх из Flyknit фактурный узор шнуровка воротник подошва с заклепками Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок. Эта модель представлена на маркетплейсе, где можно найти самые редкие модели кроссовок, о которых мечтают коллекционеры и любители streetwear по всему миру.",https://cdn-images.farfetch-contents.com/31/02/77/35/31027735_61008552_1000.jpg,Стиль;Знаковые модели;Aesthetics,На каждый день;flyknit;streetwear
